Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,118.0,0.0,United States
13.248.212.111,443,192.168.222.217,45580,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,212.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,119.0,0.0,Not found
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
52:54:00:ca:d1:e2,192.168.222.1,0,0,0,0,,,
52:54:00:bf:a4:c8,192.168.222.7,0,0,0,0,,,
142.250.178.2,443,192.168.222.7,46870,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,128.0,Not found
192.168.222.7,46870,142.250.178.2,443,"('lhr48s27-in-f2.1e100.net', [], ['142.250.178.2'])",6,52.0,0.0,United States
192.168.222.7,33948,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,72.0,0.0,Not found
192.168.222.1,53,192.168.222.7,33948,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,72.0,0.0,Not found
192.168.222.7,52666,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,72.0,0.0,Not found
192.168.222.1,53,192.168.222.7,52666,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,104.0,0.0,Not found
192.168.222.7,42522,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,60.0,0.0,United States
76.223.92.165,443,192.168.222.7,42522,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,60.0,0.0,Not found
192.168.222.7,42522,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42522,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,569.0,0.0,United States
76.223.92.165,443,192.168.222.7,42522,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42522,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,2961.0,0.0,Not found
192.168.222.7,42522,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42522,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
