Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.92,50248,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
192.168.222.92,51660,142.250.178.2,443,"('lhr48s27-in-f2.1e100.net', [], ['142.250.178.2'])",6,52.0,0.0,United States
142.250.179.234,443,192.168.222.92,50248,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
172.217.16.238,443,192.168.222.92,48922,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.178.2,443,192.168.222.92,51660,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,50996,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.222.92,50248,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
192.168.222.92,48922,172.217.16.238,443,"('lhr48s28-in-f14.1e100.net', [], ['172.217.16.238'])",6,52.0,0.0,United States
192.168.222.92,51660,142.250.178.2,443,"('lhr48s27-in-f2.1e100.net', [], ['142.250.178.2'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.222.92,50996,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,50996,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.222.92,55332,142.250.200.46,443,"('lhr48s30-in-f14.1e100.net', [], ['142.250.200.46'])",6,52.0,0.0,United States
192.168.222.92,50256,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
192.168.222.92,50254,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
192.168.222.92,51002,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.222.92,51000,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
142.250.179.234,443,192.168.222.92,50256,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.200.46,443,192.168.222.92,55332,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.179.234,443,192.168.222.92,50254,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
192.168.222.92,50256,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
192.168.222.92,55332,142.250.200.46,443,"('lhr48s30-in-f14.1e100.net', [], ['142.250.200.46'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.222.92,51002,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,50254,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.222.92,51000,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
192.168.222.92,51002,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.222.92,51000,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.222.92,53960,172.217.169.14,443,"('lhr25s26-in-f14.1e100.net', [], ['172.217.169.14'])",6,52.0,0.0,United States
192.168.222.92,38166,142.250.187.234,443,"('lhr25s34-in-f10.1e100.net', [], ['142.250.187.234'])",6,52.0,0.0,United States
192.168.222.92,38168,142.250.187.234,443,"('lhr25s34-in-f10.1e100.net', [], ['142.250.187.234'])",6,52.0,0.0,United States
192.168.222.92,47614,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,51004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.14,443,192.168.222.92,53960,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,53964,172.217.169.14,443,"('lhr25s26-in-f14.1e100.net', [], ['172.217.169.14'])",6,52.0,0.0,United States
142.250.187.234,443,192.168.222.92,38166,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.187.234,443,192.168.222.92,38168,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,53960,172.217.169.14,443,"('lhr25s26-in-f14.1e100.net', [], ['172.217.169.14'])",6,52.0,0.0,United States
192.168.222.92,38166,142.250.187.234,443,"('lhr25s34-in-f10.1e100.net', [], ['142.250.187.234'])",6,52.0,0.0,United States
192.168.222.92,38168,142.250.187.234,443,"('lhr25s34-in-f10.1e100.net', [], ['142.250.187.234'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.222.92,51004,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,51004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.14,443,192.168.222.92,53964,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
192.168.222.92,53964,172.217.169.14,443,"('lhr25s26-in-f14.1e100.net', [], ['172.217.169.14'])",6,52.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47614,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
216.58.212.195,443,192.168.222.92,45412,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,45412,216.58.212.195,443,"('lhr25s27-in-f3.1e100.net', [], ['216.58.212.195'])",6,52.0,0.0,United States
192.168.222.92,45410,216.58.212.195,443,"('ams16s21-in-f3.1e100.net', [], ['216.58.212.195'])",6,313.0,0.0,United States
216.58.212.195,443,192.168.222.92,45410,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,337.0,0.0,Not found
192.168.222.92,45410,216.58.212.195,443,"('ams16s21-in-f3.1e100.net', [], ['216.58.212.195'])",6,52.0,0.0,United States
142.250.179.234,443,192.168.222.92,50246,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,50246,142.250.179.234,443,"('lhr25s31-in-f10.1e100.net', [], ['142.250.179.234'])",6,52.0,0.0,United States
172.217.169.14,443,192.168.222.92,53962,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,53962,172.217.169.14,443,"('lhr25s26-in-f14.1e100.net', [], ['172.217.169.14'])",6,52.0,0.0,United States
192.168.222.92,46086,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46082,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46080,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,52096,172.217.169.78,443,"('lhr48s09-in-f14.1e100.net', [], ['172.217.169.78'])",6,52.0,0.0,United States
192.168.222.92,52098,172.217.169.78,443,"('lhr48s09-in-f14.1e100.net', [], ['172.217.169.78'])",6,52.0,0.0,United States
192.168.222.92,46078,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46086,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
172.217.169.78,443,192.168.222.92,52096,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
172.217.169.78,443,192.168.222.92,52098,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.200.35,443,192.168.222.92,46082,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
142.250.200.35,443,192.168.222.92,46080,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.200.35,443,192.168.222.92,46078,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,46086,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,52096,172.217.169.78,443,"('lhr48s09-in-f14.1e100.net', [], ['172.217.169.78'])",6,52.0,0.0,United States
192.168.222.92,52098,172.217.169.78,443,"('lhr48s09-in-f14.1e100.net', [], ['172.217.169.78'])",6,52.0,0.0,United States
192.168.222.92,46082,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46080,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46078,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,59064,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.92,59064,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,114.0,0.0,Not found
192.168.222.92,50114,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.92,50114,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,102.0,0.0,Not found
192.168.222.92,39698,172.217.16.226,443,"('mad08s04-in-f2.1e100.net', [], ['172.217.16.226'])",6,60.0,0.0,United States
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,60.0,128.0,Not found
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,247.0,0.0,United States
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2888.0,128.0,Not found
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1673.0,128.0,Not found
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,64.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,145.0,0.0,United States
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,543.0,0.0,United States
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,344.0,0.0,Not found
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
172.217.16.226,443,192.168.222.92,39698,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,714.0,0.0,Not found
192.168.222.92,39698,172.217.16.226,443,"('lhr48s28-in-f2.1e100.net', [], ['172.217.16.226'])",6,52.0,0.0,United States
192.168.222.92,45410,216.58.212.195,443,"('ams16s21-in-f3.1e100.net', [], ['216.58.212.195'])",6,313.0,0.0,United States
216.58.212.195,443,192.168.222.92,45410,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,337.0,0.0,Not found
192.168.222.92,45410,216.58.212.195,443,"('ams16s21-in-f3.1e100.net', [], ['216.58.212.195'])",6,52.0,0.0,United States
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,1412.0,0.0,United States
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,195.0,0.0,United States
142.250.180.14,443,192.168.222.92,38806,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
142.250.180.14,443,192.168.222.92,38806,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1470.0,0.0,Not found
142.250.180.14,443,192.168.222.92,38806,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,952.0,0.0,Not found
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,52.0,0.0,United States
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,52.0,0.0,United States
