Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,187.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,86.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,1412.0,0.0,United States
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,888.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,0.0,Not found
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,0.0,Not found
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,888.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,195.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,1262.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,0.0,Not found
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,881.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,134.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
172.217.169.42,443,192.168.122.184,45004,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,86.0,0.0,Not found
192.168.122.184,45004,172.217.169.42,443,"('lhr48s08-in-f10.1e100.net', [], ['172.217.169.42'])",6,52.0,0.0,United States
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1178.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,2888.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,5724.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,5724.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1364.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,2888.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,4306.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,6989.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,1470.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,5724.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,4306.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,7142.0,0.0,Not found
192.168.122.184,38906,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,52.0,0.0,United States
142.250.187.202,443,192.168.122.184,38906,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,5483.0,0.0,Not found
