Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1412,0,United States
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1412,0,United States
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1412,0,United States
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,0,Not found
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1412,0,United States
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1412,0,United States
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,0,Not found
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,1206,0,United States
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,0,Not found
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,0,Not found
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,645,0,Not found
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,992,0,Not found
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,132,0,Not found
142.250.200.42,443,192.168.222.7,46822,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,79,0,Not found
192.168.222.7,46822,142.250.200.42,443,"('lhr48s30-in-f10.1e100.net', [], ['142.250.200.42'])",6,52,0,United States
